49	0.02
49	0.02
49	0.02
49	0.02
49	0.04
49	0.18
49	0.16
49	0.2
49	0.22
49	0.3
49	0.22
49	0.4
49	0.5
49	0.24
49	0.36
49	0.3
49	0.44
49	0.32
49	0.32
49	0.5
49	0.48
49	0.36
49	0.46
49	0.48
49	0.56
49	0.5
49	0.56
49	0.4
49	0.52
49	0.5
49	0.4
49	0.38
49	0.48
49	0.42
49	0.48
49	0.6
49	0.52
49	0.54
49	0.5
49	0.56
49	0.38
49	0.46
49	0.58
49	0.44
49	0.5
49	0.58
49	0.52
49	0.48
49	0.6
49	0.48
49	0.56
49	0.52
49	0.62
49	0.68
49	0.6
49	0.5
49	0.6
49	0.66
49	0.42
49	0.6
49	0.56
49	0.56
49	0.54
49	0.62
49	0.62
49	0.58
49	0.66
49	0.68
49	0.62
49	0.56
49	0.54
49	0.48
49	0.62
49	0.56
49	0.6
49	0.46
49	0.56
49	0.68
49	0.48
49	0.58
49	0.52
49	0.36
49	0.46
49	0.5
49	0.52
49	0.74
49	0.5
49	0.52
49	0.52
49	0.6
49	0.56
49	0.74
49	0.48
49	0.58
49	0.48
49	0.64
49	0.58
49	0.68
49	0.56
49	0.62
49	0.58
49	0.46
